TwonHalfDecade,ailsaMellonBruceFund,corcoranGalleryofArt,daveHandRebawWilliams,geminiGel,georgiaoKeeffe,josepheWidener,kathanBrown,lessingJuliusRosenwald,mrAndMrsBenjaminbSmith,mrsJacobKainen,patronsPermanentFund,paulMellon,robertFrank,samuelhKressFoundation,unitedStatesGovernment,sumOfOthers
1500,44,23,1,0,0,69,0,824,0,1,49,1,0,429,0,234
1525,87,30,0,0,0,59,0,884,0,3,6,0,0,400,0,347
1550,151,42,0,0,0,54,0,477,0,7,12,0,0,347,0,309
1575,107,11,0,0,0,19,0,322,0,19,7,0,0,153,1,654
1600,206,10,0,0,0,59,0,401,0,71,18,0,0,244,25,693
1625,395,2,0,0,0,13,0,1148,0,24,25,3,0,56,72,1177
1650,567,22,0,0,0,35,0,918,0,8,29,4,0,26,11,1198
1675,210,5,0,0,0,10,0,276,0,4,16,1,0,6,0,306
1700,96,9,0,0,0,10,0,61,0,1,10,0,0,17,4,414
1725,125,4,1,0,0,208,0,182,0,4,12,1,0,14,0,590
1750,317,15,0,0,0,274,0,402,0,24,40,38,0,30,4,1706
1775,785,29,0,0,0,699,0,775,0,10,104,10,0,36,15,2496
1800,273,940,1,0,0,207,0,1007,0,81,16,12,0,20,4,1011
1825,318,113,3,0,0,14,0,891,0,37,44,75,0,7,1,1299
1850,2550,861,11,0,0,22,0,857,0,7,200,103,0,4,1,1770
1875,1166,1402,188,0,55,17,0,718,0,15,205,533,0,6,0,2338
1900,266,1137,110,0,331,33,0,2079,0,126,241,230,0,31,4,3803
1925,185,1048,1737,0,1290,1,0,2402,0,650,347,89,0,1,7816,5292
1950,58,1057,2507,0,2,0,0,2954,31,319,409,105,4681,3,10379,6359
1975,272,1548,116,1005,0,0,453,1067,1946,253,2054,33,109,0,1,13717
2000,8,737,75,545,0,0,1089,5,0,36,752,1,10,0,4,5594
2025,9,0,0,1,0,0,27,0,0,0,1,0,1,0,0,444
