Decade,Ailsa Mellon Bruce Fund,Corcoran Gallery of Art,Dave H. and Reba W. Williams,Gemini G.E.L.,Georgia O'Keeffe,Joseph E. Widener,Kathan Brown,Lessing Julius Rosenwald,Mr. and Mrs. Benjamin B. Smith,Mrs. Jacob Kainen,Patrons' Permanent Fund,Paul Mellon,Robert Frank,Samuel H. Kress Foundation,United States Government,sum of others
1500,27.0,5.0,0.0,0.0,0.0,60.0,0.0,393.0,0.0,1.0,37.0,0.0,0.0,308.0,0.0,139.0
1510,13.0,17.0,1.0,0.0,0.0,5.0,0.0,350.0,0.0,0.0,4.0,0.0,0.0,76.0,0.0,132.0
1520,38.0,13.0,0.0,0.0,0.0,42.0,0.0,525.0,0.0,0.0,2.0,0.0,0.0,267.0,0.0,192.0
1530,34.0,15.0,0.0,0.0,0.0,11.0,0.0,236.0,0.0,3.0,4.0,0.0,0.0,88.0,0.0,57.0
1540,47.0,22.0,0.0,0.0,0.0,29.0,0.0,139.0,0.0,2.0,6.0,0.0,0.0,106.0,0.0,98.0
1550,54.0,20.0,0.0,0.0,0.0,15.0,0.0,243.0,0.0,3.0,6.0,0.0,0.0,189.0,0.0,155.0
1560,74.0,3.0,0.0,0.0,0.0,17.0,0.0,152.0,0.0,3.0,0.0,0.0,0.0,87.0,0.0,138.0
1570,50.0,4.0,0.0,0.0,0.0,11.0,0.0,55.0,0.0,3.0,3.0,0.0,0.0,102.0,1.0,172.0
1580,38.0,6.0,0.0,0.0,0.0,6.0,0.0,230.0,0.0,7.0,4.0,0.0,0.0,42.0,0.0,393.0
1590,55.0,1.0,0.0,0.0,0.0,1.0,0.0,97.0,0.0,31.0,4.0,0.0,0.0,22.0,0.0,213.0
1600,105.0,8.0,0.0,0.0,0.0,58.0,0.0,275.0,0.0,40.0,6.0,0.0,0.0,209.0,0.0,206.0
1610,139.0,1.0,0.0,0.0,0.0,1.0,0.0,59.0,0.0,9.0,8.0,0.0,0.0,20.0,40.0,362.0
1620,211.0,1.0,0.0,0.0,0.0,7.0,0.0,607.0,0.0,7.0,15.0,3.0,0.0,22.0,40.0,569.0
1630,79.0,1.0,0.0,0.0,0.0,5.0,0.0,375.0,0.0,14.0,7.0,0.0,0.0,26.0,7.0,389.0
1640,112.0,3.0,0.0,0.0,0.0,6.0,0.0,464.0,0.0,7.0,11.0,3.0,0.0,11.0,10.0,504.0
1650,123.0,17.0,0.0,0.0,0.0,13.0,0.0,380.0,0.0,1.0,16.0,0.0,0.0,13.0,7.0,282.0
1660,378.0,3.0,0.0,0.0,0.0,22.0,0.0,276.0,0.0,3.0,8.0,1.0,0.0,4.0,4.0,612.0
1670,70.0,3.0,0.0,0.0,0.0,3.0,0.0,114.0,0.0,1.0,6.0,1.0,0.0,2.0,0.0,103.0
1680,113.0,1.0,0.0,0.0,0.0,2.0,0.0,108.0,0.0,2.0,6.0,0.0,0.0,4.0,0.0,154.0
1690,35.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,43.0
1700,43.0,9.0,0.0,0.0,0.0,8.0,0.0,34.0,0.0,0.0,6.0,0.0,0.0,16.0,4.0,280.0
1710,23.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,130.0
1720,63.0,4.0,0.0,0.0,0.0,126.0,0.0,113.0,0.0,1.0,6.0,0.0,0.0,8.0,0.0,307.0
1730,39.0,0.0,1.0,0.0,0.0,61.0,0.0,44.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0,195.0
1740,58.0,2.0,0.0,0.0,0.0,96.0,0.0,120.0,0.0,22.0,7.0,3.0,0.0,15.0,0.0,584.0
1750,157.0,11.0,0.0,0.0,0.0,47.0,0.0,155.0,0.0,3.0,12.0,30.0,0.0,2.0,2.0,642.0
1760,304.0,6.0,0.0,0.0,0.0,205.0,0.0,212.0,0.0,0.0,24.0,5.0,0.0,17.0,4.0,848.0
1770,374.0,17.0,0.0,0.0,0.0,396.0,0.0,278.0,0.0,3.0,7.0,4.0,0.0,11.0,2.0,1323.0
1780,222.0,4.0,0.0,0.0,0.0,176.0,0.0,373.0,0.0,6.0,96.0,4.0,0.0,20.0,11.0,785.0
1790,70.0,15.0,0.0,0.0,0.0,169.0,0.0,221.0,0.0,4.0,6.0,6.0,0.0,5.0,1.0,415.0
1800,83.0,641.0,0.0,0.0,0.0,105.0,0.0,369.0,0.0,74.0,7.0,3.0,0.0,13.0,1.0,476.0
1810,134.0,304.0,1.0,0.0,0.0,9.0,0.0,549.0,0.0,4.0,3.0,5.0,0.0,5.0,2.0,250.0
1820,82.0,30.0,0.0,0.0,0.0,9.0,0.0,546.0,0.0,16.0,22.0,18.0,0.0,5.0,1.0,477.0
1830,100.0,30.0,3.0,0.0,0.0,2.0,0.0,192.0,0.0,18.0,20.0,51.0,0.0,0.0,0.0,525.0
1840,1448.0,265.0,4.0,0.0,0.0,2.0,0.0,282.0,0.0,8.0,17.0,25.0,0.0,0.0,0.0,685.0
1850,1031.0,377.0,1.0,0.0,0.0,20.0,0.0,357.0,0.0,1.0,49.0,42.0,0.0,2.0,1.0,389.0
1860,244.0,301.0,8.0,0.0,0.0,4.0,0.0,470.0,0.0,2.0,247.0,60.0,0.0,2.0,0.0,1213.0
1870,993.0,207.0,3.0,0.0,0.0,11.0,0.0,159.0,0.0,1.0,52.0,368.0,0.0,4.0,0.0,970.0
1880,114.0,438.0,117.0,0.0,0.0,3.0,0.0,311.0,0.0,11.0,26.0,124.0,0.0,2.0,0.0,824.0
1890,76.0,844.0,137.0,0.0,245.0,7.0,0.0,747.0,0.0,9.0,45.0,112.0,0.0,1.0,0.0,1400.0
1900,149.0,892.0,14.0,0.0,62.0,22.0,0.0,870.0,0.0,40.0,50.0,101.0,0.0,29.0,3.0,2036.0
1910,72.0,160.0,46.0,0.0,96.0,4.0,0.0,722.0,0.0,130.0,168.0,50.0,0.0,1.0,1.0,913.0
1920,109.0,418.0,201.0,0.0,698.0,1.0,0.0,1140.0,0.0,403.0,94.0,51.0,0.0,0.0,5.0,2137.0
1930,50.0,418.0,812.0,0.0,492.0,0.0,0.0,857.0,0.0,75.0,214.0,18.0,0.0,1.0,15.0,1994.0
