,TwonHalfDecade,constituentid_x,counts
3337,1950,639,10379
2901,1925,639,7816
3459,1950,6747,4681
3443,1950,2718,2954
1893,1850,193,2550
3636,1950,34346,2507
2994,1925,2718,2402
2610,1900,2718,2079
3820,1975,465,2054
3745,1975,76,1946
3151,1925,34346,1737
4040,1975,9926,1548
2268,1875,9926,1402
2992,1925,2311,1290
4151,1975,24440,1235
2138,1875,193,1166
669,1625,2718,1148
2623,1900,9926,1137
4544,2000,19598,1089
3976,1975,2718,1067
3470,1950,9926,1057
3008,1925,9926,1048
1631,1800,2718,1007
3790,1975,297,1005
1637,1800,9926,940
813,1650,2718,918
1807,1825,2718,891
281,1525,2718,884
1998,1850,9926,861
1993,1850,2718,857
193,1500,2718,824
1327,1775,193,785
1426,1775,2718,775
4399,2000,465,752
4487,2000,9926,737
2259,1875,2718,718
1382,1775,631,699
3871,1975,992,672
3009,1925,10026,650
671,1625,7190,606
2662,1900,21753,605
4061,1975,11671,568
741,1650,193,567
3901,1975,1273,547
4392,2000,297,545
4068,1975,12844,543
4147,1975,24202,543
2177,1875,425,533
366,1550,2718,477
4110,1975,19598,453
147,1500,35,429
3305,1950,465,409
135,1475,2718,407
1248,1750,2718,402
546,1600,2718,401
1809,1825,7174,400
226,1525,35,400
610,1625,193,395
2819,1925,226,386
1448,1775,18165,369
3348,1950,982,368
3918,1975,1513,352
316,1550,35,347
2868,1925,465,347
3778,1975,219,342
4175,1975,27795,337
2609,1900,2311,331
3429,1950,1734,328
449,1575,2718,322
3471,1950,10026,319
1721,1825,193,318
1182,1750,193,317
4314,1975,46388,301
797,1650,1283,294
403,1575,62,287
4471,2000,6779,286
928,1675,2718,276
1224,1750,631,274
1532,1800,193,273
3771,1975,193,272
3839,1975,549,270
2450,1900,193,266
3587,1950,27795,265
4577,2000,23952,263
108,1475,35,259
4041,1975,10026,253
3813,1975,441,253
4567,2000,23010,252
1438,1775,14034,249
492,1600,35,244
2510,1900,465,241
2499,1900,425,230
3104,1925,27795,230
4380,2000,9,230
2580,1900,1514,230
1303,1750,46560,225
3375,1950,1177,220
4732,2000,48042,220
4391,2000,219,218
3898,1975,1190,217
4229,1975,33053,210
884,1675,193,210
1443,1775,15728,209
3734,1975,9,209
1100,1725,631,208
1589,1800,631,207
501,1600,193,206
2934,1925,1147,205
2188,1875,465,205
2229,1875,1186,204
1935,1850,465,200
4020,1975,6779,197
3838,1975,547,196
4413,2000,992,195
3957,1975,1734,194
4701,2000,38632,189
2360,1875,34346,188
4288,1975,38240,188
4163,1975,26356,188
2812,1925,193,185
3980,1975,3368,184
1124,1725,2718,182
1970,1850,1186,180
4132,1975,23126,179
2418,1900,67,177
2957,1925,1514,177
587,1600,38134,176
3690,1950,46388,175
3702,1950,48993,172
3851,1975,638,169
3629,1950,33053,168
2444,1900,164,167
83,1450,35,156
400,1575,35,153
326,1550,193,151
3763,1975,159,148
2786,1925,82,147
3231,1950,82,146
1437,1775,13179,145
2805,1925,164,139
4271,1975,37005,137
1358,1775,441,135
1233,1750,1005,131
2624,1900,10026,126
1067,1725,193,125
4417,2000,1244,125
734,1650,110,123
3444,1950,2739,121
2672,1900,23698,121
2504,1900,441,121
4571,2000,23184,118
2183,1875,441,117
4079,1975,14034,116
4236,1975,34346,116
1035,1700,21517,116
3971,1975,2474,114
4580,2000,24436,114
1736,1825,292,114
3597,1950,29738,114
3388,1950,1317,114
1812,1825,9926,113
3991,1975,4711,112
2721,1900,34346,110
3698,1950,47587,110
4015,1975,6747,109
3663,1950,37005,109
4279,1975,37724,108
1910,1850,292,108
3077,1925,23126,107
409,1575,193,107
1189,1750,306,106
3292,1950,425,105
1500,1775,47746,105
2035,1850,22573,105
4664,2000,35183,104
1363,1775,465,104
2996,1925,4475,103
1928,1850,425,103
2330,1875,27795,101
4674,2000,36259,101
1264,1750,18165,100
3452,1950,4475,100
2817,1925,211,100
3297,1950,441,99
1397,1775,1005,98
2463,1900,229,97
4280,1975,37984,97
1111,1725,1005,96
984,1700,193,96
4602,2000,27795,95
98,1450,2718,95
2987,1925,1838,95
2863,1925,441,94
2820,1925,229,94
2631,1900,12458,92
3387,1950,1312,92
3395,1950,1514,91
4074,1975,13179,91
2226,1875,1014,91
2575,1900,1312,90
3189,1925,46388,90
2936,1925,1177,89
2857,1925,425,89
2691,1900,27795,88
1146,1725,21517,87
237,1525,193,87
4689,2000,37751,87
1488,1775,37005,86
4718,2000,46039,85
1169,1750,29,85
2766,1925,9,83
3526,1950,18314,82
1876,1850,9,82
